date,retail_sales,cpi,real_retail_sales,yoy_growth_pct
1992-01-01,142419,138.3,102978.30802603037,
1992-02-01,142584,138.6,102874.45887445888,
1992-03-01,142120,139.1,102171.09992810928,
1992-04-01,143659,139.4,103055.23672883787,
1992-05-01,144239,139.7,103249.10522548319,
1992-06-01,145273,140.1,103692.36259814417,
1992-07-01,146743,140.5,104443.41637010674,
1992-08-01,146070,140.8,103742.89772727272,
1992-09-01,147932,141.1,104841.95605953225,
1992-10-01,149346,141.7,105395.90684544815,
1992-11-01,149131,142.1,104947.92399718508,
1992-12-01,150578,142.3,105817.28742094168,
1993-01-01,152329,142.8,106672.96918767506,3.58780526934932
1993-02-01,151742,143.1,106039.13347309575,3.0762490838458056
1993-03-01,150525,143.3,105041.87020237264,2.8097674159163644
1993-04-01,154720,143.8,107593.88038942975,4.404088336174605
1993-05-01,155537,144.2,107861.99722607492,4.467730728046271
1993-06-01,155353,144.3,107659.73665973665,3.826100555706202
1993-07-01,158267,144.5,109527.33564013841,4.867630193191141
1993-08-01,157425,144.8,108718.9226519337,4.796496949354867
1993-09-01,158535,145.0,109334.4827586207,4.285046624404321
1993-10-01,159773,145.6,109734.2032967033,4.116190638804218
1993-11-01,162004,146.0,110961.64383561643,5.730194185253867
1993-12-01,163258,146.3,111591.25085440873,5.456540773435448
1994-01-01,162369,146.3,110983.59535201639,4.040973263580416
1994-02-01,165075,146.7,112525.56237218814,6.117014244310215
1994-03-01,168330,147.1,114432.35893949695,8.939757754724553
1994-04-01,168262,147.2,114308.4239130435,6.240637013286321
1994-05-01,167412,147.5,113499.66101694915,5.226737809293369
1994-06-01,169337,147.9,114494.25287356321,6.348256484620007
1994-07-01,169514,148.4,114227.76280323448,4.291556199759783
1994-08-01,172332,149.0,115659.06040268455,6.383560084540085
1994-09-01,174018,149.3,116555.92766242464,6.604910657278018
1994-10-01,175309,149.4,117342.03480589022,6.932962814352961
1994-11-01,175761,149.8,117330.44058744992,5.739638069230946
1994-12-01,176168,150.1,117367.08860759495,5.175887633629861
1995-01-01,177136,150.5,117698.3388704319,6.050212643695452
1995-02-01,174560,150.9,115679.25778661366,2.802647992101903
1995-03-01,176376,151.2,116650.79365079367,1.9386428208385098
1995-04-01,176353,151.8,116174.57180500658,1.6325550017054713
1995-05-01,179020,152.1,117698.88231426694,3.6997654968244476
1995-06-01,181382,152.4,119017.06036745406,3.9502484887913303
1995-07-01,180019,152.6,117967.8899082569,3.2742715196699246
1995-08-01,181787,152.9,118892.740353172,2.795872575160918
1995-09-01,182074,153.1,118924.88569562379,2.032464655131272
1995-10-01,181411,153.5,118183.06188925082,0.7167312930544067
1995-11-01,184327,153.7,119926.48015614835,2.2125882726601764
1995-12-01,184841,153.9,120104.61338531514,2.3324466937003407
1996-01-01,184636,154.7,119351.00193923725,1.4041515663400173
1996-02-01,187576,155.0,121016.7741935484,4.614065225747321
1996-03-01,188237,155.5,121052.73311897105,3.773604388286511
1996-04-01,189778,156.1,121574.63164638053,4.648228745303817
1996-05-01,191544,156.4,122470.58823529413,4.0541641748867985
1996-06-01,189960,156.7,121225.27121888961,1.8553733764032687
1996-07-01,191113,157.0,121728.02547770701,3.18742292701375
1996-08-01,191139,157.2,121589.69465648856,2.2683927507308077
1996-09-01,193303,157.7,122576.41090678505,3.0704466855717483
1996-10-01,195420,158.2,123527.18078381797,4.521899169929378
1996-11-01,194860,158.7,122785.12917454318,2.383667906097786
1996-12-01,195318,159.1,122764.29918290385,2.2144743008796874
1997-01-01,197447,159.4,123868.88331242157,3.785373645614154
